record_id,record_type,relationship,confidence,client_or_owner,name,address_fin,city,postal_code,gross_floor_area_m2,volume_m3,number_of_storeys,completion_date,rank_gfa,main_purpose_fi,heating_method_fi,heating_energy_source_fi,facade_material_fi,load_bearing_material_fi,construction_method_fi,usage_status_fi,permanent_building_identifier,property_identifier,lon,lat,building_key,mandate_since,scale_note,source_url,notes
S-VAL-002,managed_helsinki_match,likely_in_valio_mandate,medium,Valion Eläkekassa,Eerikinkatu 28,Albertinkatu 35 | Eerikinkatu 28,Helsinki,00180,4888,17283,9,1962-01-01,2301,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",Vesikeskuslämmitys,Kauko- tai aluelämpö,Tiili,Betoni,Elementti,Tyhjillään,103056110M,09100400740001,24.93173517,60.16571492,f3e6626d-9b56-4292-a44c-3279902d8883,2021-summer,4888 m2,https://www.valionelakekassa.fi/tilojen-vuokraus/,On Valio Eläkekassa lettable list. Not itemized by Sustera as one of the seven.
S-VAL-003,managed_helsinki_match,likely_in_valio_mandate,medium,Valion Eläkekassa,Yliopistonkatu 5,Vuorikatu 2 | Yliopistonkatu 5,Helsinki,00100,6341,37947,3,1972-01-01,1377,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",Vesikeskuslämmitys,Kauko- tai aluelämpö,Lasi,Betoni,Paikalla tehty,Tyhjillään,103036738R,09100200020007,24.94704005,60.1700128,5931764b-80b7-4968-aac5-aab45d4f0cbb,2021-summer,6341 m2,https://www.valionelakekassa.fi/tilojen-vuokraus/,On Valio Eläkekassa lettable list. Not itemized by Sustera as one of the seven.
S-VAL-004,managed_helsinki_match,likely_in_valio_mandate,medium,Valion Eläkekassa,Yrjönkatu 36,Yrjönkatu 36,Helsinki,00100,3262,14224,7,1980-01-01,4314,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",Vesikeskuslämmitys,Kauko- tai aluelämpö,Tiili,Betoni,,Tyhjillään,103056038A,09100400680004,24.93630379,60.16845381,b0fc5921-60d8-4747-a36c-c73c89068f23,2021-summer,3262 m2,https://www.valionelakekassa.fi/tilojen-vuokraus/,On Valio Eläkekassa lettable list. Not itemized by Sustera as one of the seven.
S-KMP-089,kamppi_nearby,possible_kamppi_mandate,low,Kampin Keskus Oy (unconfirmed for this row),Malminrinne / Kampinkuja office,Malminrinne 6 | Fredrikinkatu 44 | Runeberginkatu 1 | Kampinkuja 2,Helsinki,00100,24167,129200,8,1972-12-31,89,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",Vesikeskuslämmitys,Kauko- tai aluelämpö,Metallilevy,Betoni,Paikalla tehty,Tyhjillään,103075011B,09100402160001,24.93060985,60.16813147,0402e672-889f-4a44-8155-791ca127cccf,2022-spring,24167 m2,https://sustera.fi/referenssi/kampin-keskus-oy-tekninen-manageeraus/,Adjacent to Kamppi; not proven to be in the 135976 brm2 mandate.
S-CAMP-2A,campus_nearby,same_street_not_sustera,high,,Karvaamokuja 2a,Karvaamokuja 2a,Helsinki,00380,10850,67030,7,2016-03-29,498,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",Vesikeskuslämmitys,Kauko- tai aluelämpö,Muu,Betoni,Elementti,Tyhjillään,103166542Y,09104600250018,24.88241114,60.2156846,e2341b4f-1afa-4b0f-bbc9-95c65fa8f8a5,,10850 m2,,Same street as Colony HQ. Not Sustera's listed address.
S-CAMP-2B,campus_nearby,same_street_not_sustera,high,,Karvaamokuja 2b,Karvaamokuja 2b,Helsinki,00380,8994,62317,7,2019-03-11,742,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",Ilmakeskuslämmitys,Kauko- tai aluelämpö,Lasi,Betoni,Elementti,Käytöstä ei ole tietoa,1036494953,09104600250019,24.88262571,60.21543653,1b0a0009-7d53-4bc4-8b13-29c5f173f0de,,8994 m2,,Same street as Colony HQ. Not Sustera's listed address.
S-CAMP-2E,campus_nearby,same_street_not_sustera,high,,Karvaamokuja 2e,Karvaamokuja 2e,Helsinki,00380,4414,17850,,2016-03-29,2740,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",Ei kiinteää lämmityslaitetta,,Metallilevy,Betoni,Elementti,Tyhjillään,101059433P,09104600250020,24.88192637,60.21508404,fb80a55e-876b-43ea-bd1b-79992e710e77,,4414 m2,,Same street as Colony HQ. Not Sustera's listed address.
S-OFF-HML,occupied_office,occupies,high,Sustera Oy (tenant),Sustera office — Hämeenlinna,Kasarmikatu 23,Hämeenlinna,13100,,,,,,,,,,,,,,,,,,,,https://sustera.fi/yhteystiedot/,"Occupied office, not a management mandate"
S-OFF-JOE,occupied_office,occupies,high,Sustera Oy (tenant),Sustera office — Joensuu,"Masterintie 1 B 1, Lehmo",Joensuu,80710,,,,,,,,,,,,,,,,,,,,https://sustera.fi/yhteystiedot/,"Occupied office, not a management mandate"
S-OFF-JKL,occupied_office,occupies,high,Sustera Oy (tenant),Sustera office — Jyväskylä,Ahjokatu 26,Jyväskylä,40320,,,,,,,,,,,,,,,,,,,,https://sustera.fi/yhteystiedot/,"Occupied office, not a management mandate"
S-OFF-KUO,occupied_office,occupies,high,Sustera Oy (tenant),Sustera office — Kuopio,Ankkuritie 1,Kuopio,70460,,,,,,,,,,,,,,,,,,,,https://sustera.fi/yhteystiedot/,"Occupied office, not a management mandate"
S-OFF-LHI,occupied_office,occupies,high,Sustera Oy (tenant),Sustera office — Lahti,"Vesijärvenkatu 20 C, 3. krs",Lahti,15140,,,,,,,,,,,,,,,,,,,,https://sustera.fi/yhteystiedot/,"Occupied office, not a management mandate"
S-OFF-LPR,occupied_office,occupies,high,Sustera Oy (tenant),Sustera office — Lappeenranta,Oppilaankatu 4,Lappeenranta,53100,,,,,,,,,,,,,,,,,,,,https://sustera.fi/yhteystiedot/,"Occupied office, not a management mandate"
S-OFF-MIK,occupied_office,occupies,high,Sustera Oy (tenant),Sustera office — Mikkeli,Nuijamiestenkatu 24,Mikkeli,50100,,,,,,,,,,,,,,,,,,,,https://sustera.fi/yhteystiedot/,"Occupied office, not a management mandate"
S-OFF-OUL,occupied_office,occupies,high,Sustera Oy (tenant),Sustera office — Oulu,Konetie 33a,Oulu,90620,,,,,,,,,,,,,,,,,,,,https://sustera.fi/yhteystiedot/,"Occupied office, not a management mandate"
S-OFF-SEI,occupied_office,occupies,high,Sustera Oy (tenant),Sustera office — Seinäjoki,Sahalankatu 5A1,Seinäjoki,60100,,,,,,,,,,,,,,,,,,,,https://sustera.fi/yhteystiedot/,"Occupied office, not a management mandate"
S-OFF-TRE,occupied_office,occupies,high,Sustera Oy (tenant),Sustera office — Tampere,Hatanpään valtatie 36,Tampere,33100,,,,,,,,,,,,,,,,,,,,https://sustera.fi/yhteystiedot/,"Occupied office, not a management mandate"
S-OFF-TKU,occupied_office,occupies,high,Sustera Oy (tenant),Sustera office — Turku,"High Tech City, Lemminkäisenkatu 48, 2 krs",Turku,20520,,,,,,,,,,,,,,,,,,,,https://sustera.fi/yhteystiedot/,"Occupied office, not a management mandate"
